song,album,prev,lyric,next
By The Time I Get To Phoenix,Kicking Against The Pricks,Cause I’ve left that girl so many times before,,"And by the time I get to Albuquerque, she’ll be working"
By The Time I Get To Phoenix,Kicking Against The Pricks,,"And by the time I get to Albuquerque, she’ll be working",And she’ll take off time just to give me a call
By The Time I Get To Phoenix,Kicking Against The Pricks,"And by the time I get to Albuquerque, she’ll be working",And she’ll take off time just to give me a call,And she’ll hear that phone keep right on ringing and ringing
By The Time I Get To Phoenix,Kicking Against The Pricks,And she’ll take off time just to give me a call,And she’ll hear that phone keep right on ringing and ringing,"On the wall, yeah oh, that’s all"
By The Time I Get To Phoenix,Kicking Against The Pricks,And she’ll hear that phone keep right on ringing and ringing,"On the wall, yeah oh, that’s all",
By The Time I Get To Phoenix,Kicking Against The Pricks,"On the wall, yeah oh, that’s all",,"And by the time I make Oklahoma, she’ll be sleeping"
By The Time I Get To Phoenix,Kicking Against The Pricks,,"And by the time I make Oklahoma, she’ll be sleeping",She’ll turn softly in her sleep and call my name out low
By The Time I Get To Phoenix,Kicking Against The Pricks,"And by the time I make Oklahoma, she’ll be sleeping",She’ll turn softly in her sleep and call my name out low,And then she’ll cry just to think
By The Time I Get To Phoenix,Kicking Against The Pricks,She’ll turn softly in her sleep and call my name out low,And then she’ll cry just to think,"That I’d really leave her, I left her"
By The Time I Get To Phoenix,Kicking Against The Pricks,And then she’ll cry just to think,"That I’d really leave her, I left her",But time after time after time I tried to tell her so
By The Time I Get To Phoenix,Kicking Against The Pricks,"That I’d really leave her, I left her",But time after time after time I tried to tell her so,But she just didn’t know that I would really go
By The Time I Get To Phoenix,Kicking Against The Pricks,But time after time after time I tried to tell her so,But she just didn’t know that I would really go,That I would really go
By The Time I Get To Phoenix,Kicking Against The Pricks,But she just didn’t know that I would really go,That I would really go,
The Hammer Song,Kicking Against The Pricks,,"“Oh please, don’t sell me out”",Said the man with the hammer
The Hammer Song,Kicking Against The Pricks,"“Oh please, don’t sell me out”",Said the man with the hammer,Hammering the anvil
The Hammer Song,Kicking Against The Pricks,Said the man with the hammer,Hammering the anvil,“I’ve been walking on the road of rocks
The Hammer Song,Kicking Against The Pricks,Hammering the anvil,“I’ve been walking on the road of rocks,And I keep on hammering
The Hammer Song,Kicking Against The Pricks,“I’ve been walking on the road of rocks,And I keep on hammering,Keep on hammering
The Hammer Song,Kicking Against The Pricks,And I keep on hammering,Keep on hammering,Keep on hammering
The Hammer Song,Kicking Against The Pricks,Keep on hammering,Keep on hammering,Hammering the anvil.”
The Hammer Song,Kicking Against The Pricks,Keep on hammering,Hammering the anvil.”,
The Hammer Song,Kicking Against The Pricks,Hammering the anvil.”,,“Don’t let the sun go down”
